product_code,revision_code,rm_code,dosage_percent,issue
730C2091,2,24FS040,0,Dosage must be numeric and greater than zero
711C3002,2,AD101,0,Dosage must be numeric and greater than zero
711C3002,2,AD102,0,Dosage must be numeric and greater than zero
711C3006,1,WX,0,Dosage must be numeric and greater than zero
711C0001,1,711M006BK,0,Dosage must be numeric and greater than zero
711C0001,1,AD301,0,Dosage must be numeric and greater than zero
711C0001,1,AD201,0,Dosage must be numeric and greater than zero
711C3001,2,AD101,0,Dosage must be numeric and greater than zero
500C3031,2,AM650N,0,Dosage must be numeric and greater than zero
710C2081,2,PT01,0,Dosage must be numeric and greater than zero
711C1001,3,AD102,0,Dosage must be numeric and greater than zero
721C1081,1,PV01,0,Dosage must be numeric and greater than zero
730C2093A,3,AD203,0,Dosage must be numeric and greater than zero
730C3092F,3,PB05,0,Dosage must be numeric and greater than zero
730C3394F,3,POB1,0,Dosage must be numeric and greater than zero
501C2001,1,WX,0,Dosage must be numeric and greater than zero
510C2193,2,M12RR,0,Dosage must be numeric and greater than zero
711C3003,2,AD102,0,Dosage must be numeric and greater than zero
730C3022F,2,POB1,0,Dosage must be numeric and greater than zero
730C3022F,2,PR07,0,Dosage must be numeric and greater than zero
730C3022F,2,PO04,0,Dosage must be numeric and greater than zero
501C2101,,,,Dosage must be numeric and greater than zero
501C2102,,,,Dosage must be numeric and greater than zero
501C2281,,,,Dosage must be numeric and greater than zero
501C2281,,,,Dosage must be numeric and greater than zero
501C3001,,,,Dosage must be numeric and greater than zero
501C3081,,,,Dosage must be numeric and greater than zero
501C3201,,,,Dosage must be numeric and greater than zero
501C3281,,,,Dosage must be numeric and greater than zero
501C3282,,,,Dosage must be numeric and greater than zero
501C3286,,,,Dosage must be numeric and greater than zero
510C0002,,,,Dosage must be numeric and greater than zero
510C0041F,,,,Dosage must be numeric and greater than zero
510C0081,,,,Dosage must be numeric and greater than zero
510C0091F,,,,Dosage must be numeric and greater than zero
510C1102,,,,Dosage must be numeric and greater than zero
510C1111,,,,Dosage must be numeric and greater than zero
510C1181,,,,Dosage must be numeric and greater than zero
