item_code,item_name,item_group,stock_uom,is_stock_item,include_item_in_manufacturing,valuation_method,has_batch_no,create_new_batch,inspection_required_before_purchase,inspection_required_before_delivery,allow_alternative_item,disabled,description,quality_template
710C3031,CiLON™ 30% GF PA 6 Natural,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
711C3002,CiLON™ 30 % GF PA 6 Black,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
730C2091,ZiLITE™ 20% GF PBT CFL White,PBT,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
711C3001HF,CiLON™ 30 % GF PA 6 Black,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
730C2093L,ZiLITE™ 20% GF CFL White PBT,PBT,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
710C3031HFHS,"CiLON™ 30% GF PA6 High Flow, Heat Stabilized Natural",PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
711C0002,CiLON™ Unfilled PA 6 Black,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
710C2383F4,CiLON™ 20% MF + 5% GF FR PA6 MCB RAL7035 Grey,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
730C0032,ZiLITE™ UF PBT Natural,PBT,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
710C3003,CiLON™ 35% GF PA6 Black,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
710C0031,CiLON™ Unfilled PA 6 Natural,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
500C3031,HiLENE™ 30% GF PP Natural,PP,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
711C1001,CiLON™ 15 % GF PA 6 Black,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
730C0031,ZiLITE™ UF PBT Natural,PBT,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
501C3283,HiLENE™ 25 % TF PP Dark Grey,PP,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
711C0001,CiLON™ Unfilled PA 6 Black,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
710C2383F2,CiLON™ 20% MF + 5% GF FR PA6 Grey,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
730C3391F,ZiLITE™ 30 % GF FR PBT White,PBT,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
710C3013,CiLON™ 35% GF PA6 Beige,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
721C3001,CiLON™ 33% GF PA 66 Black,PA66,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
731C3001,ZiLITE™ 30 % GF PBT Black,PBT,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
710C2283F4,CiLON™ 20% MF FR PA6 Grey,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
711C3001F,CiLON™ 30% GF FR PA 6 Black,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
730C3031,ZiLITE™ 30% GF PBT Natural,PBT,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
731C3001F,ZiLITE™ 30 % GF FR PBT Black,PBT,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
710C3001UVS,CiLON™ 30% GF PA6 Black UV Stabilized,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
730C3392F,ZiLITE™ 30% GF + MF FR PBT White,PBT,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
710C4101,CiLON™ 40% MF PA6 Black,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
721C0001,CiLON™ Unfilled PA 66 Black,PA66,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
711C3001M,CiLON™ 30 % GF PA6 Black,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
720C3031,CiLON™ 33% GF PA 66 Natural,PA66,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
710C3033,CiLON™ 30% GF PA6 Natural,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
711C3003,CiLON™ 30 % GF PA 6 Black,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
721C3002,CiLON™ 33% GF PA 66 Black,PA66,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
721C1081,CiLON™ 15 % GF PA 66 Grey,PA66,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
730C2091B,ZiLITE™ 20% GF PBT CFL White,PBT,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
710C2081,CiLON™ 25% GF PA6 Dark Grey,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
500C2291,HiLENE™ 20% MF PP White,PP,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
711C3005,CiLON™ 35% GF PA6 Compound BLK,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
750C0031,PiCAN™ PC COMPOUND,Alloy,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
711C2001F,CiLON™ 20% GF FR PA6 Black,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
720C0031,CiLON™ UF PA66 Natural,PA66,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
710C3001E,CiLON™ 30% GF PA6 Ebony Black,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
711C0092,CiLON™ Unfilled PA 6 Milky White,PA6,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
500C2192,HiLENE™ 20% TF PP White,PP,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
730C2091L,ZiLITE™ 20% GF CFL PBT White,PBT,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
730C3381,ZiLITE™ 20% GF+10% MF PBT L. Grey,PBT,Kg,1,1,FIFO,1,1,0,1,0,0,,Calco Final FG QC
