parent,parenttype,parentfield,item_code,qty,uom,stock_qty,stock_uom,include_item_in_manufacturing
BOM-500C0031F-R1,BOM,items,M12RR,98.0,Kg,98.0,Kg,1
BOM-500C0031F-R1,BOM,items,AD412,1.5,Kg,1.5,Kg,1
BOM-500C0031F-R1,BOM,items,AD301,0.3,Kg,0.3,Kg,1
BOM-500C0031F-R1,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-500C0031F-R1,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C0091-R0,BOM,items,H350FG,97.9984,Kg,97.9984,Kg,1
BOM-500C0091-R0,BOM,items,AD301,0.3,Kg,0.3,Kg,1
BOM-500C0091-R0,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-500C0091-R0,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C0091-R0,BOM,items,PT01,1.5,Kg,1.5,Kg,1
BOM-500C0091-R0,BOM,items,PB02,0.0016,Kg,0.0016,Kg,1
BOM-500C0091F-R1,BOM,items,H350FG,96.4984,Kg,96.4984,Kg,1
BOM-500C0091F-R1,BOM,items,AD412,1.5,Kg,1.5,Kg,1
BOM-500C0091F-R1,BOM,items,AD301,0.3,Kg,0.3,Kg,1
BOM-500C0091F-R1,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-500C0091F-R1,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C0091F-R1,BOM,items,PT01,1.5,Kg,1.5,Kg,1
BOM-500C0091F-R1,BOM,items,PB02,0.0016,Kg,0.0016,Kg,1
BOM-500C1001HS-R0,BOM,items,M12RR,78.4,Kg,78.4,Kg,1
BOM-500C1001HS-R0,BOM,items,G508,15.0,Kg,15.0,Kg,1
BOM-500C1001HS-R0,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C1001HS-R0,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-500C1001HS-R0,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C1001HS-R0,BOM,items,PE0800,4.0,Kg,4.0,Kg,1
BOM-500C1001HS-R0,BOM,items,H-10,0.1,Kg,0.1,Kg,1
BOM-500C1001HS-R0,BOM,items,AD202,2.0,Kg,2.0,Kg,1
BOM-500C1032-R0,BOM,items,M12RR,84.5,Kg,84.5,Kg,1
BOM-500C1032-R0,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C1032-R0,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-500C1032-R0,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-500C1032-R0,BOM,items,G508,15.0,Kg,15.0,Kg,1
BOM-500C1131-R1,BOM,items,AM650N,39.5,Kg,39.5,Kg,1
BOM-500C1131-R1,BOM,items,H350FG,50.0,Kg,50.0,Kg,1
BOM-500C1131-R1,BOM,items,G508,10.0,Kg,10.0,Kg,1
BOM-500C1131-R1,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C1131-R1,BOM,items,AD102,0.2,Kg,0.2,Kg,1
BOM-500C1201-R2,BOM,items,M12RR,83.55,Kg,83.55,Kg,1
BOM-500C1201-R2,BOM,items,B-72,12.0,Kg,12.0,Kg,1
BOM-500C1201-R2,BOM,items,PE5302,4.0,Kg,4.0,Kg,1
BOM-500C1201-R2,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C1201-R2,BOM,items,AD102,0.15,Kg,0.15,Kg,1
BOM-500C1231-R2,BOM,items,M12RR,84.6,Kg,84.6,Kg,1
BOM-500C1231-R2,BOM,items,B-72,15.0,Kg,15.0,Kg,1
BOM-500C1231-R2,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C1231-R2,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C2001UVS-R0,BOM,items,M12RR,75.3,Kg,75.3,Kg,1
BOM-500C2001UVS-R0,BOM,items,G508,20.0,Kg,20.0,Kg,1
BOM-500C2001UVS-R0,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C2001UVS-R0,BOM,items,AD101,0.1,Kg,0.1,Kg,1
BOM-500C2001UVS-R0,BOM,items,AD102,0.1,Kg,0.1,Kg,1
BOM-500C2001UVS-R0,BOM,items,PE0800,4.0,Kg,4.0,Kg,1
BOM-500C2001UVS-R0,BOM,items,AD501,0.1,Kg,0.1,Kg,1
BOM-500C2001UVS-R0,BOM,items,AD502,0.1,Kg,0.1,Kg,1
BOM-500C2011-R1,BOM,items,H350FG,75.70535,Kg,75.70535,Kg,1
BOM-500C2011-R1,BOM,items,G508,20.0,Kg,20.0,Kg,1
BOM-500C2011-R1,BOM,items,AD202,3.0,Kg,3.0,Kg,1
BOM-500C2011-R1,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C2011-R1,BOM,items,AD102,0.2,Kg,0.2,Kg,1
BOM-500C2011-R1,BOM,items,PT01,0.75,Kg,0.75,Kg,1
BOM-500C2011-R1,BOM,items,PY02,0.036,Kg,0.036,Kg,1
BOM-500C2011-R1,BOM,items,PO01,0.00725,Kg,0.00725,Kg,1
BOM-500C2011-R1,BOM,items,PC01,0.0014,Kg,0.0014,Kg,1
BOM-500C2031-R1,BOM,items,H350FG,67.49,Kg,67.49,Kg,1
BOM-500C2031-R1,BOM,items,G508,20.0,Kg,20.0,Kg,1
BOM-500C2031-R1,BOM,items,AD304,0.3,Kg,0.3,Kg,1
BOM-500C2031-R1,BOM,items,AD102,0.2,Kg,0.2,Kg,1
BOM-500C2031-R1,BOM,items,AD202,2.0,Kg,2.0,Kg,1
BOM-500C2031-R1,BOM,items,AM650N,10.0,Kg,10.0,Kg,1
BOM-500C2031-R1,BOM,items,POB1,0.01,Kg,0.01,Kg,1
BOM-500C2031A-R0,BOM,items,M12RR,55.65,Kg,55.65,Kg,1
BOM-500C2031A-R0,BOM,items,B220MN,23.85,Kg,23.85,Kg,1
