product_code,revision_code,valid_line_count,total_dosage_percent
500C1151,,0,0.0
500C1161,,0,0.0
500C1181,,0,0.0
500C1182,,0,0.0
500C1185,,0,0.0
500C1232,,0,0.0
500C1261,,0,0.0
500C1271,,0,0.0
500C1281,,0,0.0
500C1291,,0,0.0
500C2001,,0,0.0
500C2122,,0,0.0
500C2123,,0,0.0
500C2181F,0,7,99.9
500C2181F,1,1,0.1
500C2191,1,11,200.0
500C2201,,0,0.0
500C2201F,1,14,200.0
500C2211,,0,0.0
500C2212,,0,0.0
500C2251,,0,0.0
500C2263,,0,0.0
500C2292,,0,0.0
500C2294,1,7,100.50465
500C3051,1,21,199.6494
500C3102,,0,0.0
500C3131,,0,0.0
500C3191F,,0,0.0
500C3201,,0,0.0
500C3282,,0,0.0
500C3295,,0,0.0
500C3331,1,4,30.45
501C2101,,0,0.0
501C2102,,0,0.0
501C2281,,0,0.0
501C3001,,0,0.0
501C3081,,0,0.0
501C3201,,0,0.0
501C3281,,0,0.0
501C3282,,0,0.0
501C3286,,0,0.0
510C0002,,0,0.0
510C0041F,,0,0.0
510C0081,,0,0.0
510C0091F,,0,0.0
510C1102,,0,0.0
510C1111,,0,0.0
510C1181,,0,0.0
510C2002,1,6,99.0
510C2103,,0,0.0
510C2182,1,11,100.89198
510C2193N,,0,0.0
510C2281,,0,0.0
510C2292,,0,0.0
510C2294,,0,0.0
510C2295,,0,0.0
510C3001,1,6,80.0
510C3041,,0,0.0
510C3081,,0,0.0
510C3231,,0,0.0
510C3251,,0,0.0
510C3281,,0,0.0
510C3285,,0,0.0
510C3286,,0,0.0
510C3292,,0,0.0
510C3293,,0,0.0
510C3293L,,0,0.0
510C3294,,0,0.0
510C3294E,,0,0.0
510C3294L,,0,0.0
510C3295,,0,0.0
510C3295E,,0,0.0
510C3296,,0,0.0
510C3296A,,0,0.0
510C3296B,,0,0.0
510C4131,,0,0.0
510C4131,1,14,204.0
510C4193N,,0,0.0
510C5391,,0,0.0
510D2131,0,0,0.0
510D3031,0,3,69.7
510D3031,1,2,30.3
510D3102,1,5,97.0
521C3031,,0,0.0
710C0001HSMT,0,5,101.7
710C0001LS,,0,0.0
710C0002,,0,0.0
710C0021,,0,0.0
710C0021UVS,1,10,99.9
710C0022F,1,11,101.4504
710C0023,0,9,100.1
710C0024,,0,0.0
710C0041,,0,0.0
710C0042,,0,0.0
710C0043,,0,0.0
710C0044,,0,0.0
710C0051F,,0,0.0
710C0061,1,7,102.57
710C0061F,,0,0.0
710C0062F,,0,0.0
710C0063,,0,0.0
710C0081B,1,9,99.7103
710C0082F,1,9,90.9229
