severity,source,record_code,issue_type,details
Error,FG inventory,500C1191F,Duplicate FG Code,FG code appears 3 times
Error,FG inventory,500C1271,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,500C3181F1,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,500C3331,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,510C1291IM,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,510C2031,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,510C2294,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,510C2295,Duplicate FG Code,FG code appears 3 times
Error,FG inventory,510C3381,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,510C6031,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,510D0042F1,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,510D3002,Duplicate FG Code,FG code appears 3 times
Error,FG inventory,710C0002ST,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,710C0021,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,710C0032F,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,710C009XF,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,710C1001MT,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,710C1031EDS,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,710C2003FA,Duplicate FG Code,FG code appears 3 times
Error,FG inventory,710C3003F,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,710C3031IM,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,710C3033F,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,710C3036,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,710C3081FA,Duplicate FG Code,FG code appears 3 times
Error,FG inventory,710C3083F,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,710D2004F,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,710D2284F3,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,710D2294F3,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,710D2384F3,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,710D3004F,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,711C0002M,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,711C0092F,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,711C2381F,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,711C3002M,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,711D1004,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,711D3008,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,711D3008IM,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,720C0081,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,720C3003F,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,720D0001F4,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,720D2002F,Duplicate FG Code,FG code appears 4 times
Error,FG inventory,720D4031F4,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,721C0001F,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,721C1002,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,721C3002HS,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,722D1101HSIM,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,730C2093LS,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,730C2095,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,730C3083,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,730C3091F1,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,730C5001,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,730D1033F4,Duplicate FG Code,FG code appears 3 times
Error,FG inventory,750C003160M,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,750C0082F,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,750C1001,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,760C0001,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,760C6002,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,770D2002,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,790C0031,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,900C0082,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,900C0096,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,901C0081F,Duplicate FG Code,FG code appears 3 times
Error,FG inventory,901C0082,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,901C0083,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,901C1001,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,901C2001,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,901D002,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,910C2031,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,910C2032,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,910C3031,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,L/OLD,Duplicate FG Code,FG code appears 2 times
Error,FG inventory,OTHERS,Duplicate FG Code,FG code appears 3 times
Error,FG inventory,TRANSFER,Duplicate FG Code,FG code appears 2 times
Error,Formulations,500C1291,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001UVS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001UVS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001UVS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001UVS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001UVS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001UVS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001UVS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001UVS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001UVS,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C1201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C1201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C1201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C1201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C1201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C1201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C2201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C2201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C2201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C2201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C2201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,501C2201,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0083IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,721C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,721C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,721C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,721C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,721C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,721C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,721C1001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C2001F,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C4032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C4032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C4032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C4032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C4032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,720C4032,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C1001IM,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C0031HSMT,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3061,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3061,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3061,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,730C3061,Missing FG Reference,FG code missing in FG inventory
Error,Formulations,710C2091,Missing FG Reference,FG code missing in FG inventory
