item_code,item_name,item_group,stock_uom,is_stock_item,include_item_in_manufacturing,valuation_method,has_batch_no,create_new_batch,inspection_required_before_purchase,inspection_required_before_delivery,allow_alternative_item,disabled,description,quality_template
711M004,"711M004 , Nylon 6 Granules",Polymer PA,Kg,1,1,Moving Average,1,0,1,0,0,0,51665.75,Calco Incoming RM QC
H8202NLB,"H8202NLB, 2004, BE3270, 2700, S2700, HE2700",Polymer PA,Kg,1,1,Moving Average,1,0,1,0,0,0,87127.4234,Calco Incoming RM QC
L08XM,"L08XM, TH6085, 1084",Polymer PBT,Kg,1,1,Moving Average,1,0,1,0,0,0,58323.6808,Calco Incoming RM QC
A45,A45/EP4401 BRIGHT A GRADE(ZigSheng)/YN2700(Sinchem),Polymer PA,Kg,1,1,Moving Average,1,0,1,0,0,0,5688.27,Calco Incoming RM QC
G568,"568H, T43N, ECS10~4.5~T435N,123D, T435TM",Glass Fibre,Kg,1,1,Moving Average,1,0,1,0,0,0,82314.75,Calco Incoming RM QC
P00010,Paper Sticker 4 x 2,Packing Material,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
WX,Wx,Unclassified RM,Kg,1,1,Moving Average,1,0,1,0,0,0,22983.275,Calco Incoming RM QC
L10XM,1100-211M,Polymer PBT,Kg,1,1,Moving Average,1,0,1,0,0,0,54950.962,Calco Incoming RM QC
G534,"534 , 187H/R, T436 H, SG272,",Glass Fibre,Kg,1,1,Moving Average,1,0,1,0,0,0,29499,Calco Incoming RM QC
KEMOLIT SL4,Kemolit SL4,Mineral,Kg,1,1,Moving Average,1,0,1,0,0,0,1155,Calco Incoming RM QC
JE25,"JE25 / 2004 / J2500 / 3245, BE3250",Polymer PA,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
P00009,Liner 52 gsm,Packing Material,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
KEMOLIT KF4,Kemolit KF4,Mineral,Kg,1,1,Moving Average,1,0,1,0,0,0,7107.5,Calco Incoming RM QC
711M006BK,"711M006Bk, Nylon 6 black",Polymer PA,Kg,1,1,Moving Average,1,0,1,0,0,0,22611.975,Calco Incoming RM QC
721M001,721M001,Polymer PA,Kg,1,1,Moving Average,1,0,1,0,0,0,9319.8,Calco Incoming RM QC
AD404,JLS/Shandong Haiwang/Weidong/Novista(MCA 25),Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,4020,Calco Incoming RM QC
B-72,B-72,Mineral,Kg,1,1,Moving Average,1,0,1,0,0,0,9680,Calco Incoming RM QC
L07XM,L08XM,Polymer PBT,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
711M006N,711M006N,Polymer PA,Kg,1,1,Moving Average,1,0,1,0,0,0,45852.1525,Calco Incoming RM QC
P00001,Paper Laminated -PA6 with liner,Packing Material,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
711M006SB,711M006SB,Polymer PA,Kg,1,1,Moving Average,1,0,1,0,0,0,829.5,Calco Incoming RM QC
PE5302,PE5302,Pigment,Kg,1,1,Moving Average,1,0,1,0,0,0,5157.75,Calco Incoming RM QC
AD411,FR 4140R rPA,Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,2800,Calco Incoming RM QC
P00004,Woven Bags-PP,Packing Material,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
QH1200,QH1200,Mineral,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
P080M,P080M,Polymer PBT,Kg,1,1,Moving Average,1,0,1,0,0,0,4266,Calco Incoming RM QC
P00003,Paper Laminated -PBT with liner,Packing Material,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
P00008,Alumunium Bags-Local,Packing Material,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
AD409,Brominated Epoxy FR 6000/ BEFR K25/CXB 3000H/B701,Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,1712,Calco Incoming RM QC
M12RR,M12RR / M12RR1,Polymer PE PP,Kg,1,1,Moving Average,1,0,1,0,0,0,11284.93,Calco Incoming RM QC
721M004,721M004,Polymer PA,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
AD414,FR 5240R PBT,Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,4141,Calco Incoming RM QC
G508,"508, CS/147/A/14P14MM, ECER13-4.0-925 PP",Glass Fibre,Kg,1,1,Moving Average,1,0,1,0,0,0,713,Calco Incoming RM QC
P00007,Paper Laminated -PA6 without Liner,Packing Material,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
JEMB,"JEMB, HY2000A, BL3200, J2000, B208AE",Polymer PA,Kg,1,1,Moving Average,1,0,1,0,0,0,7990.5,Calco Incoming RM QC
AD201,"E131, N1493, Zebond 961, Adibond 2494,",Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,517.5,Calco Incoming RM QC
M1000R,"PC1003R, M1000R ,PC RESIN LT - 1100, POLY Carbonate 10MFI",Polymer PC,Kg,1,1,Moving Average,1,0,1,0,0,0,25239.25,Calco Incoming RM QC
PE0800,PE0800,Pigment,Kg,1,1,Moving Average,1,0,1,0,0,0,852,Calco Incoming RM QC
PT02,HDS,Pigment,Kg,1,1,Moving Average,1,0,1,0,0,0,30,Calco Incoming RM QC
L/OLD,L/OLD,Unclassified RM,Kg,1,1,Moving Average,1,0,1,0,0,0,5242.5,Calco Incoming RM QC
JE25 OG,"JE25 OG, H-85 Grade , H-95 Grade , Nylon 6 (Widespec) MBM-EX-GYL/0000325193",Polymer PA,Kg,1,1,Moving Average,1,0,1,0,0,0,25688.75,Calco Incoming RM QC
M2407,M2407 / PC Crush,Polymer PC,Kg,1,1,Moving Average,1,0,1,0,0,0,300,Calco Incoming RM QC
AD402,Sb2O3,Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,576,Calco Incoming RM QC
K102A,Translink 445,Mineral,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
P00002,Paper Laminated -PA66 with Liner,Packing Material,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
H350FG,H350FG/1350YG/3155,Polymer PE PP,Kg,1,1,Moving Average,1,0,1,0,0,0,1506.5,Calco Incoming RM QC
PE0570,PE0570,Pigment,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
P00005,Radici-Packing Bags,Packing Material,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
AD301,"Finawax-C, Adwil wax c, Qualiwax c",Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,1042.7,Calco Incoming RM QC
PMX,Pmx,Unclassified RM,Kg,1,1,Moving Average,1,0,1,0,0,0,1805.5,Calco Incoming RM QC
721M003,721M003,Polymer PA,Kg,1,1,Moving Average,1,0,1,0,0,0,17701.15,Calco Incoming RM QC
PT01,"KA100, R6658, R104",Pigment,Kg,1,1,Moving Average,1,0,1,0,0,0,2683.244,Calco Incoming RM QC
730M001,G5761K,Polymer PBT,Kg,1,1,Moving Average,1,0,1,0,0,0,500,Calco Incoming RM QC
711M006SN,711M006SN,Polymer PA,Kg,1,1,Moving Average,1,0,1,0,0,0,375,Calco Incoming RM QC
AD103,Irganox 1098,Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,201.725,Calco Incoming RM QC
TALC 1090,Talc 1090 / 700,Mineral,Kg,1,1,Moving Average,1,0,1,0,0,0,1600,Calco Incoming RM QC
AD101,Alkanox 240 / Irganox 168/ AD1680,Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,576.275,Calco Incoming RM QC
HR 181,HR 181,Polymer Styrene,Kg,1,1,Moving Average,1,0,1,0,0,0,330,Calco Incoming RM QC
AD303,Ligalub 50PE / Finalux G748,Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,461,Calco Incoming RM QC
AD202,"P425, Aadibond P 1613M , Zebond12018,",Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,69,Calco Incoming RM QC
AD102,"Anox 20 / Irganox 1010, AD1010",Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,256.1,Calco Incoming RM QC
900M045,MI-45,Polymer Styrene,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
SAN-300N,SAN-300N,Polymer PC,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
731M001,731M001,Polymer PBT,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
AD203,"GE344, AADIBOND G 3170, Zebond-430",Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,72.5,Calco Incoming RM QC
PT03,RFC05,Pigment,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
AD403,FR-DBDPE,Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
PA0002,Polyadd-PA0002,Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,31.35,Calco Incoming RM QC
AD304,CSP,Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,51.9,Calco Incoming RM QC
AD416,6570 PC/A FR BK,Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
B400MN,B400MN / 975MO,Polymer PE PP,Kg,1,1,Moving Average,1,0,1,0,0,0,0,Calco Incoming RM QC
PC01,550,Pigment,Kg,1,1,Moving Average,1,0,1,0,0,0,83.6495,Calco Incoming RM QC
AD502,1190 LD,Additive,Kg,1,1,Moving Average,1,0,1,0,0,0,37.5,Calco Incoming RM QC
