item_code,item_type,source_category,stock_uom,purchase_uom,conversion_factor
711M004,RM,Polymer PA,Kg,Kg,1
H8202NLB,RM,Polymer PA,Kg,Kg,1
L08XM,RM,Polymer PBT,Kg,Kg,1
A45,RM,Polymer PA,Kg,Kg,1
G568,RM,Glass Fibre,Kg,Kg,1
P00010,RM,Packing,Kg,Kg,1
WX,RM,Polymer,Kg,Kg,1
L10XM,RM,Polymer PBT,Kg,Kg,1
G534,RM,Glass Fibre,Kg,Kg,1
KEMOLIT SL4,RM,Mineral,Kg,Kg,1
JE25,RM,Polymer PA,Kg,Kg,1
P00009,RM,Packing,Kg,Kg,1
KEMOLIT KF4,RM,Mineral,Kg,Kg,1
711M006BK,RM,Polymer PA,Kg,Kg,1
721M001,RM,Polymer PA,Kg,Kg,1
AD404,RM,Additive,Kg,Kg,1
B-72,RM,Mineral,Kg,Kg,1
L07XM,RM,Polymer PBT,Kg,Kg,1
711M006N,RM,Polymer PA,Kg,Kg,1
P00001,RM,Packing,Kg,Kg,1
711M006SB,RM,Polymer PA,Kg,Kg,1
PE5302,RM,Pigment,Kg,Kg,1
AD411,RM,Additive,Kg,Kg,1
P00004,RM,Packing,Kg,Kg,1
QH1200,RM,Mineral,Kg,Kg,1
P080M,RM,Polymer PBT,Kg,Kg,1
P00003,RM,Packing,Kg,Kg,1
P00008,RM,Packing,Kg,Kg,1
AD409,RM,Additive,Kg,Kg,1
M12RR,RM,Polymer PE/PP,Kg,Kg,1
721M004,RM,Polymer PA,Kg,Kg,1
AD414,RM,Additive,Kg,Kg,1
G508,RM,Glass Fibre,Kg,Kg,1
P00007,RM,Packing,Kg,Kg,1
JEMB,RM,Polymer PA,Kg,Kg,1
AD201,RM,Additive,Kg,Kg,1
M1000R,RM,Polymer PC,Kg,Kg,1
PE0800,RM,Pigment,Kg,Kg,1
PT02,RM,Pigment,Kg,Kg,1
L/OLD,RM,Polymer,Kg,Kg,1
JE25 OG,RM,Polymer PA,Kg,Kg,1
M2407,RM,Polymer PC,Kg,Kg,1
AD402,RM,Additive,Kg,Kg,1
K102A,RM,Mineral,Kg,Kg,1
P00002,RM,Packing,Kg,Kg,1
H350FG,RM,Polymer PE/PP,Kg,Kg,1
PE0570,RM,Pigment,Kg,Kg,1
P00005,RM,Packing,Kg,Kg,1
AD301,RM,Additive,Kg,Kg,1
PMX,RM,Polymer,Kg,Kg,1
721M003,RM,Polymer PA,Kg,Kg,1
PT01,RM,Pigment,Kg,Kg,1
730M001,RM,Polymer PBT,Kg,Kg,1
711M006SN,RM,Polymer PA,Kg,Kg,1
AD103,RM,Additive,Kg,Kg,1
TALC 1090,RM,Mineral,Kg,Kg,1
AD101,RM,Additive,Kg,Kg,1
HR 181,RM,Polymer Styrene,Kg,Kg,1
AD303,RM,Additive,Kg,Kg,1
AD202,RM,Additive,Kg,Kg,1
AD102,RM,Additive,Kg,Kg,1
900M045,RM,Polymer Styrene,Kg,Kg,1
SAN-300N,RM,Polymer PC,Kg,Kg,1
731M001,RM,Polymer PBT,Kg,Kg,1
AD203,RM,Additive,Kg,Kg,1
PT03,RM,Pigment,Kg,Kg,1
AD403,RM,Additive,Kg,Kg,1
PA0002,RM,Additive,Kg,Kg,1
AD304,RM,Additive,Kg,Kg,1
AD416,RM,Additive,Kg,Kg,1
B400MN,RM,Polymer PE/PP,Kg,Kg,1
PC01,RM,Pigment,Kg,Kg,1
AD502,RM,Additive,Kg,Kg,1
AD501,RM,Additive,Kg,Kg,1
AD405,RM,Additive,Kg,Kg,1
AD310,RM,Additive,Kg,Kg,1
AD305,RM,Additive,Kg,Kg,1
AD406,RM,Additive,Kg,Kg,1
B120MN,RM,Polymer PE/PP,Kg,Kg,1
PB02,RM,Pigment,Kg,Kg,1
B220MN,RM,Polymer PE/PP,Kg,Kg,1
G249,RM,Glass Fibre,Kg,Kg,1
POB1,RM,Pigment,Kg,Kg,1
BP0800,RM,Pigment,Kg,Kg,1
AD410,RM,Additive,Kg,Kg,1
AD309,RM,Additive,Kg,Kg,1
PY02,RM,Pigment,Kg,Kg,1
PB05,RM,Pigment,Kg,Kg,1
PR02,RM,Pigment,Kg,Kg,1
POB2,RM,Pigment,Kg,Kg,1
PR01,RM,Pigment,Kg,Kg,1
PB03,RM,Pigment,Kg,Kg,1
P-22,RM,Additive,Kg,Kg,1
H-10,RM,Additive,Kg,Kg,1
PY03,RM,Pigment,Kg,Kg,1
PR03,RM,Pigment,Kg,Kg,1
PB04,RM,Pigment,Kg,Kg,1
PO03,RM,Pigment,Kg,Kg,1
PO04,RM,Pigment,Kg,Kg,1
PV01,RM,Pigment,Kg,Kg,1
AD405A,RM,Additive,Kg,Kg,1
PG01,RM,Pigment,Kg,Kg,1
BP0880,RM,Pigment,Kg,Kg,1
PO01,RM,Pigment,Kg,Kg,1
PB01,RM,Pigment,Kg,Kg,1
AD415,RM,Additive,Kg,Kg,1
24FS040,RM,Polymer PE/PP,Kg,Kg,1
AM650N,RM,Polymer PE/PP,Kg,Kg,1
CO15EG,RM,Polymer PE/PP,Kg,Kg,1
7684 KN,RM,Polymer PE/PP,Kg,Kg,1
Y35GR,RM,Polymer PE/PP,Kg,Kg,1
B265MO,RM,Polymer PE/PP,Kg,Kg,1
501M020,RM,Polymer PE/PP,Kg,Kg,1
2083,RM,Polymer PBT,Kg,Kg,1
2110,RM,Polymer PBT,Kg,Kg,1
P100M,RM,Polymer PBT,Kg,Kg,1
1085,RM,Polymer PBT,Kg,Kg,1
TH6085,RM,Polymer PBT,Kg,Kg,1
711M005,RM,Polymer PA,Kg,Kg,1
711M022,RM,Polymer PA,Kg,Kg,1
711M023,RM,Polymer PA,Kg,Kg,1
JE25SD,RM,Polymer PA,Kg,Kg,1
JE28,RM,Polymer PA,Kg,Kg,1
N200HV,RM,Polymer PA,Kg,Kg,1
711M006SM,RM,Polymer PA,Kg,Kg,1
PC02,RM,Pigment,Kg,Kg,1
PC03,RM,Pigment,Kg,Kg,1
PC04,RM,Pigment,Kg,Kg,1
PC05,RM,Pigment,Kg,Kg,1
PC06,RM,Pigment,Kg,Kg,1
PO02,RM,Pigment,Kg,Kg,1
POB3,RM,Pigment,Kg,Kg,1
PP01,RM,Pigment,Kg,Kg,1
PP02,RM,Pigment,Kg,Kg,1
PP03,RM,Pigment,Kg,Kg,1
PR04,RM,Pigment,Kg,Kg,1
PR05,RM,Pigment,Kg,Kg,1
PR06,RM,Pigment,Kg,Kg,1
PR07,RM,Pigment,Kg,Kg,1
PY01,RM,Pigment,Kg,Kg,1
PY04,RM,Pigment,Kg,Kg,1
PY05,RM,Pigment,Kg,Kg,1
PY06,RM,Pigment,Kg,Kg,1
PY07,RM,Pigment,Kg,Kg,1
PY08,RM,Pigment,Kg,Kg,1
PE0803,RM,Pigment,Kg,Kg,1
BP0717,RM,Pigment,Kg,Kg,1
PE0201,RM,Pigment,Kg,Kg,1
PB06HS,RM,Pigment,Kg,Kg,1
PG02HS,RM,Pigment,Kg,Kg,1
PG03HS,RM,Pigment,Kg,Kg,1
PBR1HS,RM,Pigment,Kg,Kg,1
PBR2HS,RM,Pigment,Kg,Kg,1
PY10HS,RM,Pigment,Kg,Kg,1
PY11HS,RM,Pigment,Kg,Kg,1
PD01,RM,PIGMENT,Kg,Kg,1
P00006,RM,Packing,Kg,Kg,1
P00011,RM,Packing,Kg,Kg,1
P00012,RM,Packing,Kg,Kg,1
P00013,RM,Packing,Kg,Kg,1
P00014,RM,Packing,Kg,Kg,1
CAO,RM,Mineral,Kg,Kg,1
CS-123D,RM,Glass Fibre,Kg,Kg,1
CS-995,RM,Glass Fibre,Kg,Kg,1
T435TM,RM,Glass Fibre,Kg,Kg,1
G968,RM,Glass Fibre,Kg,Kg,1
G952,RM,Glass Fibre,Kg,Kg,1
G511,RM,Glass Fibre,Kg,Kg,1
910M040,RM,ASA Black,Kg,Kg,1
6202,RM,Additive,Kg,Kg,1
AD104,RM,Additive,Kg,Kg,1
P-30,RM,Additive,Kg,Kg,1
AD204,RM,Additive,Kg,Kg,1
AD302,RM,Additive,Kg,Kg,1
AD306,RM,Additive,Kg,Kg,1
AD307,RM,Additive,Kg,Kg,1
AD308,RM,Additive,Kg,Kg,1
AD401,RM,Additive,Kg,Kg,1
AD407,RM,Additive,Kg,Kg,1
AD408,RM,Additive,Kg,Kg,1
PA0001,RM,Additive,Kg,Kg,1
SM-200,RM,Additive,Kg,Kg,1
EXFLAIR,RM,Additive,Kg,Kg,1
GBEAD,RM,Additive,Kg,Kg,1
B-30,RM,Additive,Kg,Kg,1
M-1251,RM,Additive,Kg,Kg,1
M-1420,RM,Additive,Kg,Kg,1
DELAMINE,RM,Additive,Kg,Kg,1
AD205,RM,Additive,Kg,Kg,1
FR-102,RM,Additive,Kg,Kg,1
APP,RM,Additive,Kg,Kg,1
300-FG,RM,Additive,Kg,Kg,1
MIXROY,RM,Additive,Kg,Kg,1
AD311,RM,Additive,Kg,Kg,1
AD312,RM,Additive,Kg,Kg,1
AD313,RM,Additive,Kg,Kg,1
AD412,RM,Additive,Kg,Kg,1
AD413,RM,Additive,Kg,Kg,1
AD417,RM,Additive,Kg,Kg,1
AD206,RM,Additive,Kg,Kg,1
G560,RM,Glass Fibre,Kg,Kg,1
HALDWANI,RM,Mineral,Kg,Kg,1
AD404A,RM,Additive,Kg,Kg,1
PT04,RM,Pigment,Kg,Kg,1
PO05,RM,Pigment,Kg,Kg,1
AD503,RM,Additive,Kg,Kg,1
AD105,RM,Additive,Kg,Kg,1
520M001,RM,Polymer PE/PP,Kg,Kg,1
C320MN,RM,Polymer PE/PP,Kg,Kg,1
790M001,RM,Polymer POM,Kg,Kg,1
AD106,RM,Additive,Kg,Kg,1
